Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
0, 3300, 284, 4880, 0
1, 3700, 295, 4884, 0
2, 3000, 295, 4880, 0
3, 3300, 285, 4880, 0
4, 3300, 288, 4880, 0
5, 3300, 280, 4880, 0
6, 7000, 293, 4876, 0
7, 4000, 288, 4880, 0
8, 3300, 279, 4876, 0
9, 11900, 295, 4876, 0
10, 3200, 528, 4876, 0
11, 3400, 288, 4848, 0
12, 3800, 280, 4880, 0
13, 3700, 280, 4880, 0
14, 15900, 280, 4880, 0
15, 3300, 297, 4880, 0
16, 3700, 288, 4844, 0
17, 3900, 285, 4876, 0
18, 3600, 285, 4880, 0
19, 11500, 266, 4880, 0
20, 3600, 280, 4880, 0
21, 3400, 290, 4852, 0
22, 3900, 284, 4880, 1
23, 3600, 275, 4880, 0
24, 3500, 293, 4880, 0
25, 3500, 285, 4880, 0
26, 3700, 284, 4872, 0
27, 3700, 290, 4880, 1
28, 2500, 284, 4876, 0
29, 3300, 241, 4880, 0
30, 3400, 280, 4876, 0
31, 3500, 293, 4880, 0
32, 3700, 290, 4876, 0
33, 3600, 284, 4880, 0
34, 3500, 226, 4880, 0
35, 3500, 300, 4876, 0
36, 3600, 280, 4896, 0
37, 3300, 279, 4880, 0
38, 3600, 288, 4876, 0
39, 3400, 285, 4880, 0
40, 3700, 293, 4880, 0
41, 3300, 298, 4884, 0
42, 3400, 284, 4880, 0
43, 3400, 285, 4876, 0
44, 14800, 285, 4880, 0
45, 3300, 518, 4880, 0
46, 3200, 288, 4856, 0
47, 3400, 285, 4880, 0
48, 3400, 279, 4876, 0
49, 15600, 279, 4880, 0
50, 3100, 534, 4876, 0
51, 3000, 279, 4880, 0
52, 3100, 290, 4884, 0
53, 3600, 288, 4880, 1
54, 16200, 279, 4880, 0
55, 3300, 302, 4880, 0
56, 3900, 290, 4880, 0
57, 3800, 285, 4872, 0
58, 3600, 285, 4880, 1
59, 2700, 284, 4876, 0
60, 3700, 288, 4876, 0
61, 3400, 290, 4888, 0
62, 3500, 288, 4880, 0
63, 3500, 290, 4876, 1
64, 2500, 280, 4880, 0
65, 3400, 285, 4876, 0
66, 3400, 285, 4880, 0
67, 3600, 284, 4880, 0
68, 3600, 288, 4880, 0
69, 3700, 290, 4880, 0
70, 3400, 272, 4880, 0
71, 3300, 275, 4880, 0
72, 3300, 284, 4880, 0
73, 3500, 285, 4880, 0
74, 1000, 284, 4880, 0
75, 3900, 285, 4880, 0
76, 3300, 288, 4880, 0
77, 3400, 288, 4880, 0
78, 2800, 290, 4880, 0
79, 3500, 239, 4880, 0
80, 3700, 284, 4876, 0
81, 3400, 275, 4888, 0
82, 3000, 275, 4880, 0
83, 3800, 285, 4880, 0
84, 3700, 284, 4880, 0
85, 3700, 298, 4880, 0
86, 3600, 285, 4864, 0
87, 3800, 290, 4880, 0
88, 3700, 288, 4880, 0
89, 12000, 275, 4876, 0
90, 3200, 596, 4880, 0
91, 3200, 280, 4880, 0
92, 3600, 285, 4880, 0
93, 3500, 288, 4880, 0
94, 3600, 288, 4880, 0
95, 3400, 284, 4864, 0
96, 3400, 290, 4880, 0
97, 3300, 285, 4880, 0
98, 12300, 288, 4872, 0
99, 3600, 490, 4880, 0
100, 3300, 284, 4848, 0
101, 3900, 298, 4880, 0
102, 3100, 284, 4880, 0
103, 16000, 274, 4880, 0
104, 3600, 424, 4876, 0
105, 3400, 279, 4880, 0
106, 3500, 279, 4880, 0
107, 3400, 288, 4880, 1
108, 12700, 284, 4876, 0
109, 3400, 287, 4880, 0
110, 3200, 280, 4880, 0
111, 3700, 285, 4876, 0
112, 3400, 293, 4876, 1
113, 3300, 285, 4880, 0
114, 3300, 284, 4876, 0
115, 3300, 279, 4888, 0
116, 3700, 290, 4880, 0
117, 3900, 290, 4880, 1
118, 2300, 285, 4880, 0
119, 3900, 298, 4880, 0
120, 3400, 282, 4880, 0
121, 3700, 279, 4880, 0
122, 3500, 274, 4876, 0
123, 3500, 280, 4876, 0
124, 3700, 295, 4880, 0
125, 3500, 284, 4880, 0
126, 3100, 288, 4876, 0
127, 3200, 285, 4880, 0
128, 3700, 285, 4876, 0
129, 3700, 290, 4876, 0
130, 3500, 293, 4880, 0
131, 3700, 280, 4864, 0
132, 3400, 280, 4880, 0
133, 3600, 275, 4876, 0
134, 14400, 280, 4880, 0
135, 3000, 577, 4876, 0
136, 3600, 293, 4880, 0
137, 3500, 295, 4880, 0
138, 3600, 280, 4876, 0
139, 13200, 285, 4876, 0
140, 3700, 454, 4880, 0
141, 3700, 280, 4876, 0
142, 3400, 284, 4848, 0
143, 3800, 288, 4880, 1
144, 13400, 284, 4880, 0
145, 4000, 293, 4880, 0
146, 3900, 290, 4880, 0
147, 3600, 284, 4868, 0
148, 3700, 295, 4880, 1
149, 3900, 280, 4876, 0
150, 3800, 280, 4876, 0
151, 3500, 285, 4876, 0
152, 3200, 293, 4876, 0
153, 3600, 280, 4880, 1
154, 3300, 275, 4872, 0
155, 3400, 239, 4880, 0
156, 3100, 284, 4880, 0
157, 3700, 290, 4876, 0
158, 3200, 290, 4876, 0
159, 3100, 284, 4880, 0
160, 3600, 279, 4876, 0
161, 3400, 290, 4880, 0
162, 3300, 285, 4888, 0
163, 3500, 288, 4880, 0
164, 3400, 274, 4876, 0
165, 3500, 285, 4876, 0
166, 3700, 587, 4876, 0
167, 3600, 288, 4884, 0
168, 4300, 295, 4880, 0
169, 3200, 280, 4876, 0
170, 11700, 293, 4880, 0
171, 3500, 570, 4880, 0
172, 3400, 284, 4880, 0
173, 3400, 290, 4876, 0
174, 3500, 280, 4880, 0
175, 15700, 275, 4880, 0
176, 3700, 587, 4880, 0
177, 3600, 280, 4876, 0
178, 3600, 290, 4840, 0
179, 3400, 284, 4880, 1
180, 13000, 279, 4880, 0
181, 3400, 288, 4876, 0
182, 3400, 288, 4876, 0
183, 3600, 280, 4860, 0
184, 3500, 295, 4876, 1
185, 3600, 290, 4880, 0
186, 3500, 241, 4876, 0
187, 3300, 287, 4876, 0
188, 3300, 275, 4880, 0
189, 3400, 285, 4880, 1
190, 2700, 285, 4880, 0
191, 3200, 274, 4880, 0
192, 3800, 275, 4880, 0
193, 3500, 284, 4880, 0
194, 3200, 290, 4884, 0
195, 2300, 284, 4880, 0
196, 3700, 274, 4880, 0
197, 3700, 285, 4880, 0
198, 3600, 288, 4896, 0
199, 3800, 280, 4880, 0
200, 3800, 293, 4880, 0
201, 3200, 284, 4880, 0
202, 3700, 505, 4884, 0
203, 3600, 279, 4880, 0
204, 3400, 279, 4876, 0
205, 3600, 288, 4884, 0
206, 5400, 288, 4880, 0
207, 3600, 505, 4880, 0
208, 3200, 279, 4880, 0
209, 3100, 290, 4880, 0
210, 3400, 288, 4880, 0
211, 14500, 285, 4876, 0
212, 16400, 288, 4884, 0
213, 3400, 331, 4880, 0
214, 3400, 288, 4884, 0
215, 3900, 285, 4880, 0
216, 3700, 284, 4880, 0
217, 13300, 274, 4876, 0
218, 3600, 244, 4880, 0
219, 3600, 292, 4880, 0
220, 3200, 290, 4880, 0
221, 3600, 285, 4876, 0
222, 2100, 280, 4880, 0
223, 3700, 234, 4880, 0
224, 3400, 280, 4884, 0
225, 3600, 279, 4880, 0
226, 3800, 285, 4876, 0
227, 3600, 280, 4880, 0
228, 3500, 284, 4880, 0
229, 3800, 288, 4880, 0
230, 3200, 288, 4892, 0
231, 3500, 293, 4880, 0
232, 3900, 293, 4880, 0
233, 4200, 285, 4876, 0
234, 3500, 582, 4876, 0
235, 3800, 290, 4884, 0
236, 3900, 280, 4880, 0
237, 3500, 295, 4880, 0
238, 9800, 285, 4880, 0
239, 3300, 488, 4880, 0
240, 3400, 280, 4876, 0
241, 3600, 293, 4840, 0
242, 3500, 275, 4880, 0
243, 15100, 288, 4880, 0
244, 3200, 279, 4876, 0
245, 3800, 290, 4880, 0
246, 3600, 275, 4848, 0
247, 3100, 280, 4884, 0
248, 3100, 290, 4880, 0
249, 3600, 280, 4876, 0
250, 3700, 285, 4880, 0
251, 3200, 280, 4852, 0
252, 3400, 290, 4876, 1
253, 3700, 280, 4880, 0
254, 6800, 288, 4880, 0
255, 3200, 282, 4876, 0
256, 3800, 279, 4880, 0
257, 3500, 284, 4880, 0
258, 3200, 275, 4876, 0
259, 3300, 290, 4880, 0
260, 3400, 292, 4880, 0
261, 3500, 275, 4888, 0
262, 3400, 284, 4880, 0
263, 3400, 290, 4880, 0
264, 3300, 284, 4876, 0
265, 3600, 300, 4876, 0
266, 3500, 280, 4896, 0
267, 3500, 279, 4876, 0
268, 3200, 288, 4880, 0
269, 3900, 288, 4880, 0
270, 3500, 405, 4880, 0
271, 3500, 284, 4880, 0
272, 3400, 275, 4880, 0
273, 3300, 300, 4876, 0
274, 1200, 290, 4880, 0
275, 3500, 542, 4876, 0
276, 3800, 284, 4876, 0
277, 3600, 288, 4856, 0
278, 3900, 285, 4880, 0
279, 6200, 284, 4880, 0
280, 3300, 284, 4876, 0
281, 3300, 295, 4880, 0
282, 3400, 290, 4840, 0
283, 3200, 288, 4880, 0
284, 3500, 284, 4876, 0
285, 3000, 290, 4880, 0
286, 3700, 395, 4880, 0
287, 3500, 293, 4848, 0
288, 3700, 288, 4880, 0
289, 3300, 290, 4876, 0
290, 16500, 280, 4880, 0
291, 3500, 277, 4880, 0
292, 3300, 295, 4876, 0
293, 3800, 290, 4876, 0
294, 3900, 279, 4880, 0
295, 12100, 290, 4880, 0
296, 3200, 282, 4880, 0
297, 3800, 275, 4880, 0
298, 3400, 285, 4876, 0
299, 3700, 284, 4880, 1
300, 2100, 280, 4880, 0
301, 3600, 284, 4880, 0
302, 3900, 288, 4892, 0
303, 3000, 293, 4876, 0
304, 3200, 284, 4880, 1
305, 3800, 298, 4880, 0
306, 3700, 261, 4876, 0
307, 3400, 295, 4880, 0
308, 4000, 290, 4876, 0
309, 3400, 279, 4876, 0
310, 3900, 285, 4880, 0
311, 3300, 251, 4880, 0
312, 3500, 290, 4884, 0
313, 3300, 284, 4892, 0
314, 3300, 295, 4880, 0
315, 3500, 274, 4876, 0
316, 3400, 280, 4880, 0
317, 3400, 280, 4876, 0
318, 3600, 288, 4872, 0
319, 3300, 279, 4876, 0
320, 3600, 295, 4880, 0
321, 16100, 279, 4880, 0
322, 3500, 285, 4876, 0
323, 3700, 284, 4884, 0
324, 3800, 288, 4844, 0
325, 3200, 290, 4876, 0
326, 3700, 288, 4876, 0
327, 14900, 270, 4880, 0
328, 3200, 292, 4880, 0
329, 3900, 290, 4844, 0
330, 3300, 295, 4876, 0
331, 3100, 280, 4880, 0
332, 7400, 288, 4876, 0
333, 3600, 280, 4880, 0
334, 3400, 288, 4880, 0
335, 3600, 285, 4880, 0
336, 3600, 280, 4880, 1
337, 3400, 284, 4880, 0
338, 3800, 290, 4880, 0
339, 3600, 288, 4888, 0
340, 3500, 290, 4880, 0
341, 3800, 285, 4876, 0
342, 1600, 284, 4880, 0
343, 4200, 234, 4880, 0
344, 3400, 288, 4880, 0
345, 3600, 290, 4880, 0
346, 3600, 279, 4876, 0
347, 2300, 275, 4880, 0
348, 3800, 300, 4880, 0
349, 3700, 290, 4880, 0
350, 3700, 290, 4872, 0
351, 3600, 295, 4876, 0
352, 1000, 285, 4880, 0
353, 3500, 290, 4880, 0
354, 3400, 290, 4880, 0
355, 3500, 290, 4860, 0
356, 3800, 284, 4880, 0
357, 3600, 293, 4880, 0
358, 3200, 275, 4880, 0
359, 3200, 606, 4876, 0
360, 3200, 284, 4844, 0
361, 3100, 284, 4880, 0
362, 3100, 288, 4880, 0
363, 15800, 280, 4880, 0
364, 3700, 477, 4876, 0
365, 3600, 295, 4880, 0
366, 4100, 280, 4876, 0
367, 3200, 290, 4876, 0
368, 15900, 280, 4876, 0
369, 3700, 361, 4884, 0
370, 3600, 295, 4876, 0
371, 3300, 288, 4860, 0
372, 3900, 293, 4880, 1
373, 12200, 274, 4880, 0
374, 3300, 285, 4880, 0
375, 3700, 290, 4884, 0
376, 3200, 280, 4880, 0
377, 3800, 284, 4880, 1
378, 3600, 290, 4876, 0
379, 3500, 236, 4880, 0
380, 3200, 282, 4880, 0
381, 3300, 285, 4876, 0
382, 3700, 295, 4876, 0
383, 2300, 280, 4880, 0
384, 3500, 288, 4880, 0
385, 3000, 287, 4876, 0
386, 3900, 285, 4880, 0
387, 3300, 285, 4884, 0
388, 3600, 280, 4880, 0
389, 3100, 280, 4876, 0
390, 3800, 284, 4880, 0
391, 3600, 288, 4896, 0
392, 3600, 288, 4880, 0
393, 3600, 285, 4880, 0
394, 1500, 274, 4880, 0
395, 3800, 572, 4876, 0
396, 3800, 288, 4900, 0
397, 3100, 284, 4876, 0
398, 3100, 284, 4880, 0
399, 5900, 293, 4876, 0
400, 3300, 578, 4876, 0
401, 3100, 284, 4880, 0
402, 3700, 293, 4852, 0
403, 3500, 293, 4880, 0
404, 9200, 295, 4880, 0
405, 3400, 285, 4880, 0
406, 3400, 293, 4880, 0
407, 3700, 280, 4848, 0
408, 3400, 285, 4880, 0
409, 3400, 285, 4880, 0
410, 3700, 284, 4880, 0
411, 3900, 282, 4880, 0
412, 3400, 293, 4840, 0
413, 3900, 293, 4880, 0
414, 3600, 275, 4880, 0
415, 15200, 270, 4880, 0
416, 3800, 275, 4880, 0
417, 3500, 285, 4880, 0
418, 3200, 285, 4880, 0
419, 3700, 293, 4880, 0
420, 7800, 290, 4880, 0
421, 3300, 280, 4880, 0
422, 3600, 284, 4880, 0
423, 3200, 288, 4880, 0
424, 3900, 290, 4884, 1
425, 4300, 280, 4880, 0
426, 3400, 221, 4880, 0
427, 3500, 295, 4876, 0
428, 3400, 285, 4880, 0
429, 3600, 288, 4876, 1
430, 3400, 293, 4880, 0
431, 3300, 225, 4876, 0
432, 3300, 295, 4876, 0
433, 3100, 293, 4880, 0
434, 3600, 298, 4880, 0
435, 3200, 290, 4880, 0
436, 3700, 249, 4880, 0
437, 3400, 280, 4880, 0
438, 3500, 285, 4884, 0
439, 3700, 284, 4876, 0
440, 3600, 280, 4876, 0
441, 3400, 288, 4880, 0
442, 3400, 288, 4880, 0
443, 3400, 293, 4884, 0
444, 3500, 298, 4880, 0
445, 3500, 293, 4876, 0
446, 10100, 279, 4880, 0
447, 3300, 515, 4880, 0
448, 3800, 290, 4860, 0
449, 4000, 275, 4876, 0
450, 3500, 274, 4880, 0
451, 15400, 279, 4876, 0
452, 3600, 595, 4876, 0
453, 3900, 290, 4880, 0
454, 3000, 275, 4880, 0
455, 4100, 293, 4880, 0
456, 15600, 275, 4880, 0
457, 3700, 488, 4880, 0
458, 3400, 280, 4880, 0
459, 3400, 284, 4836, 0
460, 3400, 284, 4880, 1
461, 3100, 288, 4880, 0
462, 3400, 290, 4880, 0
463, 3100, 290, 4880, 0
464, 3600, 284, 4852, 0
465, 3200, 288, 4876, 1
466, 2900, 293, 4880, 0
467, 6000, 259, 4880, 0
468, 3200, 285, 4876, 0
469, 3500, 284, 4868, 0
470, 3700, 284, 4880, 0
471, 3300, 284, 4876, 0
472, 3700, 290, 4880, 0
473, 3400, 282, 4880, 0
474, 3500, 284, 4888, 0
475, 3500, 290, 4880, 0
476, 3200, 290, 4876, 0
477, 3700, 284, 4880, 0
478, 3500, 282, 4880, 0
479, 3600, 280, 4880, 0
480, 3100, 280, 4876, 0
481, 3600, 300, 4880, 0
482, 1600, 284, 4880, 0
483, 3300, 336, 4876, 0
484, 3300, 284, 4880, 0
485, 3600, 293, 4880, 0
486, 3600, 288, 4880, 0
487, 2700, 275, 4880, 0
488, 3800, 429, 4876, 0
489, 3500, 293, 4880, 0
490, 3900, 290, 4868, 0
491, 3500, 288, 4876, 0
492, 3600, 284, 4876, 0
493, 3700, 505, 4880, 0
494, 3200, 288, 4880, 0
495, 3700, 280, 4852, 0
496, 3200, 285, 4876, 0
497, 3300, 288, 4876, 0
498, 3300, 284, 4880, 0
499, 3600, 288, 4880, 0
